Displacement (mm),Tensile Force (N)
0.0179,0.464
0.024,1.94
0.03,3.68
0.036,5.66
0.0417,8.06
0.0473,10.7
0.0535,14
0.0596,17.3
0.0652,20.5
0.0707,23.6
0.0762,26.7
0.0818,29.7
0.0877,32.5
0.0936,35.5
0.0995,38.4
0.106,40.8
0.112,43.3
0.118,46.1
0.124,49
0.129,51.1
0.134,53.3
0.141,56.2
0.147,58.9
0.15,60.5
0.158,63.7
0.164,66.7
0.167,68
0.175,71.2
0.181,73.9
0.188,77
0.191,78.7
0.196,80.2
0.203,82.9
0.21,86.1
0.215,88.3
0.22,90.6
0.227,93.6
0.234,96.8
0.239,99.2
0.243,101
0.25,104
0.256,107
0.26,108
0.265,111
0.271,113
0.277,115
0.283,118
0.289,120
0.295,123
0.301,125
0.307,128
0.311,130
0.317,132
0.323,135
0.329,137
0.334,139
0.34,142
0.346,144
0.351,146
0.357,149
0.363,151
0.369,153
0.375,156
0.38,158
0.386,160
0.392,162
0.398,165
0.403,167
0.409,169
0.415,172
0.42,174
0.426,176
0.432,178
0.437,181
0.443,183
0.449,185
0.455,188
0.461,190
0.466,192
0.472,195
0.479,197
0.485,200
0.489,201
0.495,204
0.5,206
0.507,209
0.513,211
0.518,213
0.523,215
0.529,218
0.535,220
0.541,222
0.546,225
0.551,227
0.557,229
0.563,231
0.569,234
0.575,236
0.581,239
0.586,241
0.592,243
0.597,245
0.603,248
0.609,250
0.615,253
0.62,255
0.625,257
0.631,259
0.637,262
0.642,264
0.648,267
0.655,269
0.661,272
0.665,274
0.671,276
0.677,278
0.683,281
0.689,283
0.695,286
0.701,288
0.706,290
0.712,293
0.718,295
0.723,298
0.729,300
0.734,302
0.74,305
0.746,307
0.752,310
0.758,312
0.763,315
0.768,316
0.774,318
0.78,321
0.786,323
0.792,326
0.797,329
0.803,331
0.809,334
0.814,336
0.819,339
0.825,341
0.831,344
0.837,347
0.843,349
0.848,351
0.854,354
0.86,356
0.865,358
0.871,361
0.876,363
0.882,366
0.888,368
0.894,371
0.899,373
0.905,375
0.91,378
0.916,380
0.922,383
0.928,385
0.934,388
0.94,390
0.945,393
0.951,395
0.956,398
0.962,400
0.968,403
0.974,406
0.979,408
0.985,411
0.991,413
0.996,415
1,418
1.01,420
1.01,423
1.02,426
1.02,428
1.03,430
1.04,433
1.04,436
1.05,438
1.05,441
1.06,443
1.06,446
1.07,448
1.08,451
1.08,453
1.09,456
1.09,458
1.1,461
1.11,463
1.11,466
1.12,468
1.12,471
1.13,473
1.13,476
1.14,478
1.14,481
1.15,483
1.16,486
1.16,488
1.17,491
1.17,493
1.18,496
1.19,499
1.19,502
1.2,504
1.2,506
1.21,509
1.21,511
1.22,514
1.22,517
1.23,519
1.24,522
1.24,524
1.25,527
1.25,529
1.26,532
1.27,535
1.27,537
1.28,540
1.28,542
1.29,545
1.29,547
1.3,550
1.3,553
1.31,555
1.32,558
1.32,560
1.33,563
1.33,565
1.34,568
1.34,571
1.35,573
1.36,576
1.36,578
1.37,581
1.37,584
1.38,586
1.38,589
1.39,592
1.4,594
1.4,597
1.41,599
1.41,602
1.42,604
1.42,607
1.43,610
1.44,612
1.44,615
1.45,617
1.45,620
1.46,622
1.46,625
1.47,627
1.48,630
1.48,633
1.49,635
1.49,638
1.5,640
1.5,643
1.51,646
1.52,648
1.52,651
1.53,654
1.53,656
1.54,659
1.55,662
1.55,664
1.56,667
1.56,669
1.57,672
1.57,674
1.58,677
1.58,679
1.59,682
1.6,684
1.6,687
1.61,690
1.61,692
1.62,695
1.62,698
1.63,700
1.64,703
1.64,705
1.65,708
1.65,711
1.66,713
1.66,716
1.67,719
1.68,721
1.68,724
1.69,727
1.69,729
1.7,732
1.7,735
1.71,737
1.72,740
1.72,743
1.73,746
1.73,748
1.74,750
1.74,753
1.75,756
1.76,758
1.76,761
1.77,763
1.77,766
1.78,769
1.78,771
1.79,774
1.79,777
1.8,779
1.81,782
1.81,784
1.82,787
1.82,790
1.83,792
1.84,795
1.84,798
1.85,800
1.85,803
1.86,806
1.86,808
1.87,811
1.88,813
1.88,816
1.89,818
1.89,821
1.9,824
1.9,827
1.91,829
1.91,831
1.92,834
1.93,837
1.93,840
1.94,842
1.94,845
1.95,847
1.96,850
1.96,853
1.97,855
1.97,858
1.98,860
1.98,863
1.99,866
2,868
2,871
2.01,874
2.01,876
2.02,879
2.02,882
2.03,884
2.03,887
2.04,889
2.05,892
2.05,894
2.06,897
2.06,900
2.07,902
2.08,905
2.08,908
2.09,910
2.09,913
2.1,915
2.1,918
2.11,921
2.12,924
2.12,926
2.13,929
2.13,931
2.14,934
2.14,937
2.15,939
2.16,942
2.16,945
2.17,947
2.17,950
2.18,953
2.18,955
2.19,958
2.2,960
2.2,963
2.21,965
2.21,968
2.22,971
2.22,973
2.23,976
2.23,978
2.24,981
2.25,984
2.25,987
2.26,989
2.26,992
2.27,994
2.27,997
2.28,999
2.29,1000
2.29,1000
2.3,1010
2.3,1010
2.31,1010
2.32,1020
2.32,1020
2.33,1020
2.33,1020
2.34,1030
2.34,1030
2.35,1030
2.35,1030
2.36,1040
2.37,1040
2.37,1040
2.38,1040
2.38,1050
2.39,1050
2.39,1050
2.4,1050
2.41,1060
2.41,1060
2.42,1060
2.42,1060
2.43,1070
2.44,1070
2.44,1070
2.45,1070
2.45,1080
2.46,1080
2.46,1080
2.47,1080
2.47,1090
2.48,1090
2.49,1090
2.49,1090
2.5,1100
2.5,1100
2.51,1100
2.52,1110
2.52,1110
2.53,1110
2.53,1110
2.54,1120
2.54,1120
2.55,1120
2.55,1120
2.56,1130
2.57,1130
2.57,1130
2.58,1130
2.58,1140
2.59,1140
2.59,1140
2.6,1140
2.61,1150
2.61,1150
2.62,1150
2.62,1150
2.63,1160
2.63,1160
2.64,1160
2.65,1160
2.65,1170
2.66,1170
2.66,1170
2.67,1170
2.67,1180
2.68,1180
2.69,1180
2.69,1180
2.7,1190
2.7,1190
2.71,1190
2.71,1190
2.72,1200
2.73,1200
2.73,1200
2.74,1200
2.74,1210
2.75,1210
2.75,1210
2.76,1210
2.77,1220
2.77,1220
2.78,1220
2.78,1220
2.79,1230
2.79,1230
2.8,1230
2.81,1230
2.81,1240
2.82,1240
2.82,1240
2.83,1240
2.83,1250
2.84,1250
2.85,1250
2.85,1250
2.86,1260
2.86,1260
2.87,1260
2.87,1260
2.88,1270
2.89,1270
2.89,1270
2.9,1270
2.9,1280
2.91,1280
2.91,1280
2.92,1280
2.93,1290
2.93,1290
2.94,1290
2.94,1290
2.95,1300
2.96,1300
2.96,1300
2.97,1300
2.97,1310
2.98,1310
2.98,1310
2.99,1310
2.99,1320
3,1320
3,1320
3.01,1320
3.02,1320
3.02,1330
3.03,1330
3.03,1330
3.04,1330
3.04,1340
3.05,1340
3.06,1340
3.06,1340
3.07,1350
3.07,1350
3.08,1350
3.09,1350
3.09,1360
3.1,1360
3.1,1360
3.11,1360
3.11,1370
3.12,1370
3.13,1370
3.13,1370
3.14,1380
3.14,1380
3.15,1380
3.15,1380
3.16,1390
3.17,1390
3.17,1390
3.18,1390
3.18,1390
3.19,1400
3.19,1400
3.2,1400
3.21,1400
3.21,1410
3.22,1410
3.22,1410
3.23,1410
3.23,1420
3.24,1420
3.25,1420
3.25,1420
3.26,1420
3.26,1430
3.27,1430
3.27,1430
3.28,1430
3.28,1440
3.29,1440
3.3,1440
3.3,1440
3.31,1450
3.31,1450
3.32,1450
3.33,1450
3.33,1450
3.34,1460
3.34,1460
3.35,1460
3.35,1460
3.36,1470
3.37,1470
3.37,1470
3.38,1470
3.38,1470
3.39,1480
3.39,1480
3.4,1480
3.41,1480
3.41,1490
3.42,1490
3.42,1490
3.43,1490
3.43,1490
3.44,1500
3.45,1500
3.45,1500
3.46,1500
3.46,1510
3.47,1510
3.48,1510
3.48,1510
3.49,1510
3.49,1520
3.5,1520
3.5,1520
3.51,1520
3.51,1530
3.52,1530
3.53,1530
3.53,1530
3.54,1530
3.54,1540
3.55,1540
3.55,1540
3.56,1540
3.56,1540
3.57,1550
3.58,1550
3.58,1550
3.59,1550
3.59,1550
3.6,1560
3.61,1560
3.61,1560
3.62,1560
3.62,1570
3.63,1570
3.63,1570
3.64,1570
3.65,1570
3.65,1580
3.66,1580
3.66,1580
3.67,1580
3.67,1580
3.68,1590
3.68,1590
3.69,1590
3.7,1590
3.7,1590
3.71,1600
3.71,1600
3.72,1600
3.73,1600
3.73,1600
3.74,1610
3.74,1610
3.75,1610
3.75,1610
3.76,1610
3.76,1620
3.77,1620
3.78,1620
3.78,1620
3.79,1620
3.79,1620
3.8,1630
3.8,1630
3.81,1630
3.82,1630
3.82,1630
3.83,1640
3.83,1640
3.84,1640
3.84,1640
3.85,1640
3.86,1650
3.86,1650
3.87,1650
3.87,1650
3.88,1650
3.88,1650
3.89,1660
3.9,1660
3.9,1660
3.91,1660
3.91,1660
3.92,1670
3.92,1670
3.93,1670
3.94,1670
3.94,1670
3.95,1670
3.95,1680
3.96,1680
3.96,1680
3.97,1680
3.98,1680
3.98,1680
3.99,1690
3.99,1690
4,1690
4.01,1690
4.01,1690
4.02,1700
4.02,1700
4.03,1700
4.03,1700
4.04,1700
4.04,1700
4.05,1700
4.06,1710
4.06,1710
4.07,1710
4.07,1710
4.08,1710
4.08,1710
4.09,1710
4.1,1720
4.1,1720
4.11,1720
4.11,1720
4.12,1720
4.12,1720
4.13,1730
4.14,1730
4.14,1730
4.15,1730
4.15,1730
4.16,1730
4.16,1730
4.17,1740
4.18,1740
4.18,1740
4.19,1740
4.19,1740
4.2,1740
4.2,1740
4.21,1740
4.22,1750
4.22,1750
4.23,1750
4.23,1750
4.24,1750
4.24,1750
4.25,1750
4.26,1750
4.26,1750
4.27,1760
4.27,1760
4.28,1760
4.28,1760
4.29,1760
4.3,1760
4.3,1760
4.31,1760
4.31,1760
4.32,1770
4.32,1770
4.33,1770
4.34,1770
4.34,1770
4.35,1770
4.35,1770
4.36,1770
4.36,1770
4.37,1770
4.38,1780
4.38,1780
4.39,1780
4.39,1780
4.4,1780
4.4,1780
4.41,1780
4.42,1780
4.42,1780
4.43,1780
4.43,1780
4.44,1780
4.44,1780
4.45,1790
4.46,1790
4.46,1790
4.47,1790
4.47,1790
4.48,1790
4.48,1790
4.49,1790
4.5,1790
4.5,1790
4.51,1790
4.51,1790
4.52,1790
4.52,1790
4.53,1790
4.54,1790
4.54,1790
4.55,1790
4.55,1790
4.56,1790
4.56,1790
4.57,1790
4.58,1790
4.58,1800
4.59,1800
4.59,1800
4.6,1800
4.6,1800
4.61,1800
4.62,1800
4.62,1800
4.63,1800
4.63,1800
4.64,1800
4.64,1800
4.65,1800
4.66,1800
4.66,1800
4.67,1800
4.67,1800
4.68,1800
4.69,1800
4.69,1800
4.7,1800
4.7,1800
4.71,1800
4.71,1790
4.72,1790
4.72,1790
4.73,1790
4.74,1790
4.74,1790
4.75,1790
4.75,1790
4.76,1790
4.76,1790
4.77,1790
4.78,1790
4.78,1790
4.79,1790
4.79,1790
4.8,1790
4.8,1790
4.81,1790
4.82,1790
4.82,1790
4.83,1790
4.83,1790
4.84,1790
4.84,1780
4.85,1780
4.86,1780
4.86,1780
4.87,1780
4.87,1780
4.88,1780
4.88,1780
4.89,1780
4.9,1780
4.9,1780
4.91,1780
4.91,1780
4.92,1770
4.92,1770
4.93,1770
4.94,1770
4.94,1770
4.95,1770
4.95,1770
4.96,1770
4.96,1770
4.97,1770
4.98,1760
4.98,1760
4.99,1760
4.99,1760
5,1760
5,1760
5.01,1760
5.01,1760
5.02,1760
5.03,1750
5.03,1750
5.04,1750
5.04,1750
5.05,1750
5.05,1750
5.06,1750
5.07,1750
5.07,1750
5.08,1740
5.08,1740
5.09,1740
5.1,1740
5.1,1740
5.11,1740
5.11,1740
5.12,1740
5.12,1730
5.13,1730
5.13,1730
5.14,1730
5.15,1730
5.15,1730
5.16,1730
5.16,1730
5.17,1720
5.18,1720
5.18,1720
5.19,1720
5.19,1720
5.2,1720
5.2,1720
5.21,1710
5.22,1710
5.22,1710
5.23,1710
5.23,1710
5.24,1710
5.24,1710
5.25,1700
5.26,1700
5.26,1700
5.27,1700
5.27,1700
5.28,1700
5.28,1700
5.29,1690
5.29,1690
5.3,1690
5.31,1690
5.31,1690
5.32,1690
5.32,1690
5.33,1680
5.33,1680
5.34,1680
5.35,1680
5.35,1680
5.36,1680
5.36,1680
5.37,1670
5.37,1670
5.38,1670
5.39,1670
5.39,1670
5.4,1670
5.4,1670
5.41,1660
5.41,1660
5.42,1660
5.43,1660
5.43,1660
5.44,1660
5.44,1660
5.45,1650
5.45,1650
5.46,1650
5.47,1650
5.47,1650
5.48,1650
5.48,1650
5.49,1640
5.5,1640
5.5,1640
5.51,1640
5.51,1640
5.52,1640
5.52,1630
5.53,1630
5.53,1630
5.54,1630
5.55,1630
5.55,1630
5.56,1620
5.56,1620
5.57,1620
5.58,1620
5.58,1620
5.59,1620
5.59,1610
5.6,1610
5.6,1610
5.61,1610
5.61,1610
5.62,1600
5.63,1600
5.63,1600
5.64,1600
5.64,1590
5.65,1590
5.65,1590
5.66,1480
5.67,1360
5.67,1180
5.68,995
5.68,806
5.69,615
5.7,422
5.71,14.7